,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
0,2613.0,0.0,0.0,3.0,7/15/2020,944.35,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,45.0,49.0,SURREY                                                                                              ,
1,3382.0,1.0,1.0,3.0,1/21/2021,1589.61,2.0,0.0,,0.0,1.0,676.3478734,0.0,1.0,25.0,69.0,PENDER ISLAND                                                                                       ,
2,3927.0,1.0,1.0,3.0,8/14/2020,1000.0,3.0,1.0,,0.0,1.0,326.5567662,0.0,1.0,0.0,59.0,BURNABY                                                                                             ,
3,4065.0,1.0,1.0,3.0,6/26/2020,219.41,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,71.0,VANCOUVER                                                                                           ,
4,4221.0,0.0,0.0,3.0,12/18/2020,76.09,1.0,0.0,,0.0,1.0,1315.930929,0.0,1.0,66.0,65.0,VANCOUVER                                                                                           ,
5,6261.0,0.0,0.0,3.0,12/18/2020,1965.48,2.0,0.0,,1.0,1.0,1879.864962,0.0,1.0,0.0,67.0,COQUITLAM                                                                                           ,
6,6896.0,0.0,0.0,3.0,8/19/2020,24352.46,4.0,0.0,,1.0,1.0,0.0,0.0,1.0,49.0,34.0,DELTA                                                                                               ,
7,7121.0,1.0,1.0,3.0,12/10/2020,4015.01,2.0,1.0,,0.0,1.0,0.0,0.0,1.0,4.0,58.0,VANCOUVER                                                                                           ,
8,12411.0,1.0,1.0,3.0,2/6/2021,44.3,1.0,1.0,,0.0,1.0,0.0,0.0,1.0,0.0,34.0,SURREY                                                                                              ,
9,13063.0,0.0,0.0,3.0,4/6/2020,698591.6412,1.0,1.0,,0.0,1.0,235.5424492,1.0,1.0,22.0,46.0,NORTH BAY                                                                                           ,
10,13568.0,0.0,0.0,3.0,6/10/2020,545363.245,4.0,0.0,,0.0,1.0,0.0,1.0,1.0,34.0,70.0,SURREY                                                                                              ,
11,14150.0,0.0,0.0,3.0,6/8/2020,462693.1882,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,54.0,VANCOUVER                                                                                           ,
12,14765.0,1.0,1.0,3.0,8/8/2020,545.0,3.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,50.0,SURREY                                                                                              ,
13,16022.0,1.0,1.0,3.0,2/1/2021,66798.52,6.0,0.0,,1.0,1.0,76.48051914,0.0,1.0,4.0,41.0,VICTORIA                                                                                            ,
14,20010.0,0.0,0.0,3.0,2/9/2021,3778.77,2.0,0.0,,0.0,1.0,1780.099169,0.0,1.0,88.0,63.0,SURREY                                                                                              ,
15,20245.0,1.0,1.0,3.0,11/2/2020,1408.63,1.0,1.0,,0.0,1.0,1824.682157,0.0,1.0,1.0,48.0,LIONS BAY                                                                                           ,
16,21098.0,0.0,0.0,3.0,7/30/2020,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,57.0,SURREY                                                                                              ,
17,22194.0,1.0,1.0,3.0,9/3/2020,1000.0,2.0,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,50.0,SURREY                                                                                              ,
18,22491.0,0.0,0.0,3.0,2/18/2021,35785.31,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,54.0,SURREY                                                                                              ,
19,23916.0,0.0,0.0,3.0,5/15/2020,408007.9864,1.0,1.0,,0.0,1.0,0.0,1.0,1.0,21.0,61.0,MISSION                                                                                             ,
20,27481.0,0.0,0.0,3.0,4/15/2020,250000.0,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,62.0,PORT MOODY                                                                                          ,
21,28995.0,1.0,1.0,3.0,6/13/2020,1005.5,1.0,1.0,60179.85092,1.0,1.0,2439.940048,0.0,1.0,22.0,65.0,PORT COQUITLAM                                                                                      ,
22,32196.0,0.0,0.0,3.0,9/10/2020,1300.53,2.0,0.0,,1.0,0.0,0.0,0.0,1.0,5.0,53.0,SURREY                                                                                              ,
23,33474.0,1.0,1.0,3.0,1/16/2021,447.78,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,16.0,42.0,BRACKENDALE                                                                                         ,
24,34604.0,0.0,0.0,3.0,8/26/2020,988.16,1.0,0.0,,1.0,1.0,0.0,0.0,1.0,2.0,35.0,VANCOUVER                                                                                           ,
25,35212.0,0.0,0.0,3.0,6/22/2020,3368.77,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,48.0,41.0,SURREY                                                                                              ,
26,37170.0,0.0,0.0,3.0,6/16/2020,44.23,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,36.0,BURNABY                                                                                             ,
27,39588.0,0.0,0.0,3.0,12/2/2020,14270.2,2.0,1.0,,0.0,1.0,0.0,0.0,1.0,41.0,71.0,VANCOUVER                                                                                           ,
28,39723.0,0.0,0.0,3.0,5/22/2020,1462.71,1.0,0.0,,0.0,1.0,0.0,0.0,1.0,2.0,54.0,RICHMOND                                                                                            ,
29,41267.0,0.0,0.0,3.0,2/10/2021,300902.47,3.0,0.0,,0.0,1.0,50.91379142,0.0,1.0,99.0,59.0,LANGLEY                                                                                             ,
30,44050.0,0.0,0.0,3.0,5/26/2020,1488.25,2.0,0.0,,0.0,1.0,0.0,0.0,1.0,81.0,53.0,BONNINGTON                                                                                          ,
31,45723.0,0.0,0.0,3.0,11/4/2020,2297.63,1.0,0.0,,1.0,1.0,1244.538948,0.0,1.0,10.0,54.0,PORT MOODY                                                                                          ,
32,52231.0,1.0,1.0,3.0,1/6/2021,1008579.95,2.0,1.0,,0.0,1.0,484.5639509,0.0,1.0,0.0,54.0,SURREY                                                                                              ,
33,52975.0,0.0,0.0,3.0,2/3/2021,1240.72,2.0,0.0,,0.0,1.0,2404.307417,0.0,1.0,0.0,53.0,BURNABY                                                                                             ,
34,53324.0,1.0,1.0,3.0,12/2/2020,270.01,1.0,1.0,,0.0,1.0,2051.849459,0.0,1.0,6.0,62.0,COQUITLAM                                                                                           ,
35,53756.0,0.0,0.0,3.0,4/21/2020,470987.0621,1.0,0.0,,0.0,0.0,0.0,1.0,1.0,11.0,57.0,WEST VANCOUVER                                                                                      ,
